district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Beaufort County School District,Beaufort 01,0701999,Mossy Oaks Elementary School,0701015,E,2510 Mossy Oaks Road,Beaufort,SC,29902,PK-5,351,843-322-2900,https://moes.beaufortschools.net/,Michelle Sackman,35,,32.3997292,-80.6928304
Beaufort County School District,Beaufort 01,0701999,Port Royal Elementary School,0701016,E,1214 Paris Avenue,Port Royal,SC,29935,PK-5,168,843-322-0820,https://pres.beaufortschools.net/,Vicki Goude,20,,32.3781397,-80.6920949
Beaufort County School District,Beaufort 01,0701999,Michael C. Riley Elementary And Early Childhood Center,0701017,E,200 Burnt Church Road,Bluffton,SC,29910,PK-5,712,8437068369,mcres.beaufortschools.net,Adrienne Sutton,68,,32.2325622,-80.8574424
Beaufort County School District,Beaufort 01,0701999,St. Helena Elementary School,0701020,E,1025 Sea Island Parkway,St. Helena,SC,29920,PK-5,347,843-838-0300, https://shes.beaufortschools.net ,Dr. Tara Mack,31,,32.4014208,-80.5636417
Beaufort County School District,Beaufort 01,0701999,Joseph S. Shanklin Elementary,0701022,E,121 Morrall Drive,Beaufort,SC,29906,PK-5,385,843-466-3400,ses.beaufortschools.net,Elizabeth Rivera,34,,32.4543891,-80.7955172
Beaufort County School District,Beaufort 01,0701999,Whale Branch Elementary,0701023,E,15 Stuart Point Road,Beaufort,SC,29940,PK-4,376,843.466.1000,https://wbes.beaufortschools.net/,Melissa Vogt,44,,32.5333695,-80.7447487
Beaufort County School District,Beaufort 01,0701999,Bluffton Elementary,0701024,E,160 H.E. McCracken Circle,Bluffton,SC,29910,PK-5,753,843-706-8500,bles.beaufortschools.net,Christine Brown,63,,no_result,no_result
Beaufort County School District,Beaufort 01,0701999,Coosa Elementary School,0701025,E,45 Middle Road,Beaufort,SC,29907,PK-5,453,843-322-6100,https://ces.beaufortschools.net/,Melissa Pender,35,,32.449777,-80.6467767
Beaufort County School District,Beaufort 01,0701999,H. E. Mccracken Middle School,0701026,M,250 H. E. McCracken Cir,Bluffton,SC,29910,6-8,935,843-706-8700,https://hemms.beaufortschools.net/,Lindsey Skirtich,64,,no_result,no_result
Beaufort County School District,Beaufort 01,0701999,Whale Branch Middle School,0701027,M,2009 Trask Parkway,Seabrook,SC,29940,5-8,358,8434663000,https://wbms.beaufortschools.net/,"Freddie Lawton, Jr.",29,,32.5329661,-80.7416527
Beaufort County School District,Beaufort 01,0701999,Beaufort Middle School,0701028,M,2501 MOSSY OAKS ROAD,BEAUFORT,SC,29902,6-8,461,843-322-5700,https://bms.beaufortschools.net/,ALVILDA GRAHAM,35,,32.4013367,-80.6921093
Beaufort County School District,Beaufort 01,0701999,Okatie Elementary,0701029,E,53 cherry point road,okatie,SC,29909,PK-5,563,8433227700,https://oes.beaufortschools.net/,jamie a pinckney,46,,32.3234507,-80.9267434
Beaufort County School District,Beaufort 01,0701999,Bluffton High School,0701030,H,12 He McCracken Circle,Bluffton,SC,29910,9-12,1289,8437068800,https://blhs.beaufortschools.net/ ,Denise S. Donica,84,,no_result,no_result
Beaufort County School District,Beaufort 01,0701999,Hilton Head Island Elementary School For The Creative Arts,0701032,E,10 Bus Drive,Hilton Head Island,SC,29926,PK-5,594,843-342-4380,https://hhisca.beaufortschools.net/,Pamela Lucas,53,,32.217954199999994,-80.73491755085894
Beaufort County School District,Beaufort 01,0701999,Hilton Head Island Elementary School,0701033,E,30 School Road,Hilton Head Island,SC,29926,1-5,769,8433424100,https://hhie.beaufortschools.net/,Dr. Sarah L. Owen,78,,32.2177286,-80.7335968
Beaufort County School District,Beaufort 01,0701999,Red Cedar Elementary,0701034,E,10 Box Elder Street,Bluffton,SC,29910,PK-5,572,8437070700,rces.beaufortschools.net,Dr. Kathleen Corley,57,,no_result,no_result
Beaufort County School District,Beaufort 01,0701999,Bluffton Middle School,0701035,M,30 New Mustang Drive,Bluffton,SC,29910,6-8,823,843-707-0700,https://blms.beaufortschools.net/,Matthew Hall,61,,no_result,no_result
Beaufort County School District,Beaufort 01,0701999,Whale Branch Early College High School,0701036,H,169 Detour Road,Seabrook,SC,29940,9-12,438,8434662700,https://wbechs.beaufortschools.net/,Mona Dickson,36,,32.5217951,-80.7593931
Beaufort County School District,Beaufort 01,0701999,Pritchardville Elementary School,0701037,E,9447 Evan Way,Bluffton,SC,29910,PK-5,881,8437070500,https://pves.beaufortschools.net/,Brenda Blue,67,,32.2435326,-80.9727195
Beaufort County School District,Beaufort 01,0701999,River Ridge Academy,0701038,E,3050 River Ridge Drive,Bluffton,SC,29910,PK-8,1089,(843) 836-4600,https://rra.beaufortschools.net/,Brian R. Ryman,79,,32.271556,-80.943021
Beaufort County School District,Beaufort 01,0701999,May River High,0701039,H,601 New Riverside Rd,Bluffton,SC,29910,9-12,1478,843-836-4900,mrhs.beaufortschools.net,Joseph T. Bornscheuer,93,,32.2160903,-80.9726165
Beaufort County School District,Beaufort 01,0701999,Robert Smalls International Academy,0701040,E,43 W.K. Alston,Beaufort,SC,29906,PK-8,644,843-322-2500,https://rsia.beaufortschools.net/,Dr. Celestine LaVan,66,,no_result,no_result
Beaufort County School District,Beaufort 01,0701999,Riverview Charter School,0701601,E,81 Savannah Highway,Beaufort,SC,29906,K-8,691,843-379-0123,www.RiverviewCharterSchool.org,Alison H. Thomas,53,charter,32.386414,-80.742581
Berkeley County School District,Berkeley 01,0801999,Stratford High,0801001,H,951 Crowfield Blvd.,Goose Creek,SC,29445,9-12,2395,843-820-4000,https://www.bcsdschools.net/Domain/44,Heather Taylor,140,,33.013569649999994,-80.08445909836828
Berkeley County School District,Berkeley 01,0801999,Berkeley High,0801002,H,406 W. Main Street,Moncks Corner,SC,29461,9-12,1801,843-899-8800,www.bcsdschools.net/BHS,Steven Steele,103,,33.20153993243243,-80.02983528378378
Berkeley County School District,Berkeley 01,0801999,Cross High School,0801006,H,1293 Old Hwy. 6,Cross,SC,29436,7-12,300,843-899-8900,https://www.bcsdschools.net/Domain/333 ,Alicia Pressley,25,,33.352056300835045,-80.16301206072004
Berkeley County School District,Berkeley 01,0801999,Goose Creek High,0801007,H,1137 Red Bank Road,Goose Creek,SC,29445,9-12,1860,843-553-5300,https://www.bcsdschools.net/Domain/25,Shameka Washington,119,,32.974022700000006,-80.0165847687325
Berkeley County School District,Berkeley 01,0801999,Hanahan High,0801008,H,6015 Murray Dr.,Hanahan,SC,29410,9-12,961,843-820-3710,https://www.bcsdschools.net/HHS,Thomas Gallus,62,,32.9181921,-80.0111139
Berkeley County School District,Berkeley 01,0801999,Berkeley Middle School,0801012,M,320 North Live Oak Drive,Moncks Corner,SC,29461,6-8,1448,843-899-8840,https://www.bcsdschools.net/Domain/12,Mike Wilkerson,79,,33.200529,-79.996742
Berkeley County School District,Berkeley 01,0801999,Boulder Bluff Elementary School,0801014,E,400 Judy Drive,Goose Creek,SC,29445,PK-5,643,843-553-1223,https://www.bcsdschools.net/BBE,Andrea Salters,46,,33.02441672727273,-80.0286501090909
Berkeley County School District,Berkeley 01,0801999,Cainhoy Elementary School,0801015,E,2424 Cainhoy Road,Huger,SC,29450,PK-5,171,843-899-8975,www.bcsdschools.net\che,LaWanda Glears,12,,33.0942079,-79.8081474
Berkeley County School District,Berkeley 01,0801999,Cross Elementary,0801016,E,1325 Ranger Drive,Cross SC,SC,29436,PK-6,332,843-899-8916,CES@bcsdschools.net,Carolyn Myers-Gillens,23,,33.3400559,-80.1463162
Berkeley County School District,Berkeley 01,0801999,College Park Elementary School,0801017,E,100 Davidson Drive,Ladson,SC,29456,PK-5,852,843-797-2711,https://www.bcsdschools.net/CPE,Amanda Prince,62,,33.01602775,-80.09122600865788
Berkeley County School District,Berkeley 01,0801999,J. K. Gourdin Elementary,0801020,E,1649 Hwy 45,Pineville,SC,29468,PK-5,103,843-567-3787,bcsdschools.net/JKE,Dr. Theodore Prioleau,9,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Hanahan Middle,0801021,M,5815 Murray Drive,Hanahan,SC,29410,6-8,806,843-820-3800,https://www.bcsdschools.net/Domain/30,Robin Rogers,50,,32.90838992620805,-79.99376285877767
Berkeley County School District,Berkeley 01,0801999,Westview Middle School,0801022,M,101 Westview Blvd.,Goose Creek,SC,29445,6-8,946,843-572-1700,wvm@bcsdschools.net,Sharon Perry,55,,32.9990931,-80.0592156
Berkeley County School District,Berkeley 01,0801999,H. E. Bonner Elementary,0801024,E,171 Macedonia Foxes Circle,Moncks Corner,SC,29461,PK-5,644,843-899-8950,https://www.bcsdschools.net/Domain/27,Melissa Willis,43,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Sedgefield Middle School,0801027,M,131 Charles B. Gibson Blvd.,Goose Creek,SC,29445,6-8,1077,843-797-2620,https://www.bcsdschools.net/Domain/41,Heather C. Ducker,65,,32.97829,-80.01212718157886
Berkeley County School District,Berkeley 01,0801999,St. Stephen Elementary,0801028,E,1053 Russellville Road,St. Stephen,SC,29479,PK-5,323,843-567-2813,sse@bcsdschools.net,Elaine Graham,24,,33.39707557620248,-79.93809928636793
Berkeley County School District,Berkeley 01,0801999,St. Stephen Middle School,0801029,M,225 Carolina Drive,St. Stephen,SC,29479,6-8,229,843-567-3128,https://www.bcsdschools.net/SSM,Brenda K. Fleming,19,,33.405900941866626,-79.93340701495433
Berkeley County School District,Berkeley 01,0801999,Whitesville Elementary School,0801030,E,324 Gaillard Road,Moncks Corner,SC,29461,PK-5,891,843-899-8880,https://www.bcsdschools.net/Domain/22,Katie Taie,55,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Westview Elementary School,0801031,E,100 Westview Boulevard,Goose Creek,SC,29445,3-5,533,843-797-2992,https://www.bcsdschools.net/Domain/46,Shawn Wimmer,31,,33.00314404802918,-80.04703985591246
Berkeley County School District,Berkeley 01,0801999,College Park Middle,0801032,M,713 College Park MIddle,Ladson,SC,29456,6-8,842,843-553-8300,cpm@bcsdschools.net,Ingrid Dukes,49,,33.01824845,-80.09164240026749
Berkeley County School District,Berkeley 01,0801999,Marrington Elementary School,0801033,E,101 Gearing St.,Goose Creek,SC,29445,PK-5,428,843-572-3373,https://www.bcsdschools.net/Domain/34,Jennifer S. Thielmann,32,,32.967313,-79.976684
Berkeley County School District,Berkeley 01,0801999,Marrington Middle School Of The Arts,0801034,M,109 Gearing Street,Goose Creek,SC,29445,6-8,392,843-572-0313,https://www.bcsdschools.net/mnm,Dara Harrop,25,,32.967408681554176,-79.97668118163715
Berkeley County School District,Berkeley 01,0801999,Howe Hall Arts Infused Magnet School,0801036,E,115 Howe Hall Road,Goose Creek,SC,29445,K-5,418,843-820-3899,hhtp://www.bcsdschools.net/hha,Christopher D. Swetckie,24,,32.980152068621244,-80.02002990362408
Berkeley County School District,Berkeley 01,0801999,Macedonia Middle,0801037,M,200 Macedonia Foxes Circle,Moncks Corner,SC,29461,6-8,353,843-899-8940,http://bcsdschools.net/MMS,Donald Walton,25,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Sangaree Intermediate School,0801038,E,201 School House Lane,"Summerville, South Carolina",SC,29483,3-5,591,843-820-3850,http:www.bcsdschools.net,Angel Siegling,31,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Devon Forest Elementary School,0801039,E,1127 DOROTHY STREET,GOOSE CREEK,SC,29445,PK-5,976,843-820-3880,https://www.bcsdschools.net/Domain/24,CRISTEN MITCHUM,61,,33.03907615,-80.07534769563394
Berkeley County School District,Berkeley 01,0801999,Mount Holly Elementary,0801040,E,225 Garwood Rd.,Goose Creek,SC,29445,PK-5,564,843-820-4090,https://www.bcsdschools.net/Domain/40,Dr. Creighton Eddings,39,,32.97649839293204,-80.0145568561054
Berkeley County School District,Berkeley 01,0801999,Berkeley Intermediate School,0801041,E,777 Stoney Landing Road,Moncks Corner,SC,29461,"PK,3-5",608,843-899-8870,Berkeley.k12.sc.us/Berkeley Intermediate.cfm,Michael Shaw,31,,33.19524831791681,-79.97957194020378
Berkeley County School District,Berkeley 01,0801999,Timberland High School,0801043,H,1418 Gravel Hill Road,St. Stephen,SC,29479,9-12,597,843-567-8110,https://www.bcsdschools.net/Domain/45,Tim W. Evans,47,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Hanahan Elementary School,0801044,E,4000 Mabeline Rd.,Hanahan,SC,29410,PK-5,1030,843-553-3290,https://www.bcsdschools.net/Domain/28,Stephanie Mitchell,65,,32.93500905,-80.02888761769705
Berkeley County School District,Berkeley 01,0801999,Goose Creek Elementary,0801046,E,200 Foster Creek Road,Goose Creek,SC,29445,PK-5,911,843-820-8008,https://www.bcsdschools.net/Domain/26,Kathy Sullivan,69,,32.97300096300074,-80.03110990042363
Berkeley County School District,Berkeley 01,0801999,Sangaree Middle School,0801047,M,1050 Discovery Drive,Ladson,SC,29456,6-8,830,843-821-4028,www.bcsdschools.net/SRM,Margaret Day,49,,33.02870479121664,-80.10854820893758
Berkeley County School District,Berkeley 01,0801999,Daniel Island School,0801048,E,2365 Daniel Island Drive,Charleston,SC,29492,PK-8,1118,843-471-2301,https://www.bcsdschools.net/Domain/23,Nancy Leigh,72,,32.84834,-79.908483
Berkeley County School District,Berkeley 01,0801999,Cane Bay High School,0801049,H,1624 State Road,Summerville,SC,29486,9-12,1928,843-899-8786,http://bcsdschools.net/CBH,Tim McDowell,114,,34.20692221145324,-81.2858740493467
Berkeley County School District,Berkeley 01,0801999,Cane Bay Elementary School,0801050,E,1247 Cane Bay Boulevard,Summerville,SC,29486,PK-4,1220,843-899-5100,https://www.bcsdschools.net/Domain/16,Melissa LaBerge,72,,33.1081142,-80.1212894270397
Berkeley County School District,Berkeley 01,0801999,Berkeley County Middle College High,0801051,H,1001 South Live Oak Drive,Moncks Corner,SC,29461,11-12,115,843-899-8111,https://www.bcsdschools.net/BMC,Dr. Dawn M. Smith,4,,33.1874519,-80.0192253
Berkeley County School District,Berkeley 01,0801999,Cane Bay Middle School,0801052,M,1175 Cane Bay Boulevard,Summerville,SC,29486,5-8,1381,843-899-1857,https://www.bcsdschools.net/CBM,Carol Beckmann-Bartlett,78,,33.10649405,-80.1203472415076
Berkeley County School District,Berkeley 01,0801999,Nexton Elementary,0801053,E,200 Scholars Way,Summerville,SC,29463,PK-5,909,843-900-3222,https://www.bcsdschools.net/Domain/334,Tina Y. Hoots,59,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Philip Simmons Elementary,0801054,E,2095 Seven Sticks Drive,Wando,SC,29492,PK-4,431,843-471-2580,https://www.bcsdschools.net/Domain/4852,La Toya Q. King,30,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Philip Simmons Middle School,0801055,M,2065 Seven Sticks Drive,Wando,SC,29492,5-8,414,843-471-2590,www.bcsdschools.net/psm,Charla Groves,29,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Philip Simmons High School,0801056,H,3080 River Village Dr.,Charleston,SC,29492,9-12,648,843-471-2960,https://www.bcsdschools.net/Domain/5507,Chris Buchholz,46,,no_result,no_result
Berkeley County School District,Berkeley 01,0801999,Bowen's Corner Elementary,0801057,E,1173 Williams Lane,Hanahan,SC,29410,PK-5,725,843-572-5567,bcsdschools.net/bce,John Spagnolia,45,,32.9469182,-80.00380425715642
Berkeley County School District,Berkeley 01,0801999,Foxbank Elementary School,0801058,E,169 Foxbank Plantation Boulevard,Moncks Corner,SC,29461,PK-5,959,843-761-1120,https://www.bcsdschools.net/Domain/6721,Natalie S. Lockliear,58,,no_result,no_result
Calhoun County Schools,Calhoun 01,0901999,Calhoun County High School,0901001,H,150 Saints Avenue,St. Matthews,SC,29135,9-12,418,803-874-3071,cchs.ccpsoline.net,Mr. Milton Howard,28,,33.66691417745664,-80.79629957565807
Calhoun County Schools,Calhoun 01,0901999,Sany Run School,0901008,E,450 Old Swamp Road,Swansea,SC,29160,PK-8,570,803-655-2746,srs.ccpsoline.net,Mrs. Marisa Vickers,45,,no_result,no_result
Calhoun County Schools,Calhoun 01,0901999,St. Matthews K8,0901009,E,135 Saints Avenue,St. Matthews,SC,91635,PK-8,602,803-655-2750,smk8.ccpsline.net,Dr. Treda Keith,46,,33.66622998142664,-80.7966209220048
Charleston County School District,Charleston 01,1001999,Baptist Hill Middle High School,1001001,H,5117 Baptist Hill Road,Hollywood,SC,29449,6-12,583,843-889-2276,https://www.ccsdschools.com/Domain/13,Dale Metzger,46,,32.727831197022844,-80.26113307085933
Charleston County School District,Charleston 01,1001999,North Charleston High,1001002,H,1087 East Montague Avenue,North Charleston,SC,29405,9-12,736,843-745-7140,https://www.ccsdschools.com/Domain/72 ,Henry E. Darby,86,,32.88142514285715,-79.97821642857143
Charleston County School District,Charleston 01,1001999,Burke High,1001010,H,244 President Street,Charleston,SC,29403,9-12,379,843-579-4815,burke.ccsdschools.com,Cheryl Swinton,58,,32.79267201291713,-79.9527652912502
Charleston County School District,Charleston 01,1001999,Wando High,1001014,H,1000 Warrior Way,Mount Pleasant,SC,29466,9-12,3330,843-881-8200,ccsdschools.com/wandohigh,Dr. Sherry M. Eppelsheimer,176,,32.883464,-79.7610105
Charleston County School District,Charleston 01,1001999,Military Magnet Academy,1001018,H,2950 Carner Avenue,North Charleston,SC,29405,6-12,483,843-745-7102,https://www.ccsdschools.com/militarymagnet ,"Dr. Robert L. Perrineau, Jr.",39,,32.85046543315356,-79.96927233649397
Charleston County School District,Charleston 01,1001999,St. Johns High,1001020,H,1518 Main Road,Johns Island,SC,29455,9-12,377,843-559-6400,https://www.ccsdschools.com/stjohns,Stephen Larson,27,,32.722858476190474,-80.09014066666667
Charleston County School District,Charleston 01,1001999,R.B. Stall High,1001022,H,3625 Ashley Phosphate Rd.,North Charleston,SC,29418,9-12,1706,843-764-2200,https://www.ccsdschools.com/stall,Jeremy Carrick,110,,32.926950193877545,-80.07936470408164
Charleston County School District,Charleston 01,1001999,Northwoods Middle,1001030,M,7763 Northside Drive,North Charleston,SC,29420,6-8,883,843-764-2212,https://www.ccsdschools.com/northwoods,Colleen Knauer,63,,32.940976469465234,-80.05189708565716
Charleston County School District,Charleston 01,1001999,Chicora Elementary,1001033,E,3100 Carner Ave.,North Charleston,SC,29405,1-5,332,843-746-2210,chicora.ccsdschools.com,Deborah J. Smith,41,,32.85244755,-79.97012113267436
